Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
1.2,0.15,23.1,12.0,8.2,1.3,6.9,1.92,0.04,2.8,48.0,29.3,0.0,1.88,4.0,76.0,2.7,35.0
0.9,0.16,22.5,11.0,9.5,1.6,7.9,1.95,0.06,2.2,35.0,29.3,0.0,1.89,4.0,76.0,2.2,35.0
0.9,0.2,20.2,12.0,12.1,1.5,10.5,1.99,0.08,2.6,34.0,28.7,0.0,1.91,2.0,77.0,2.2,39.0
0.7,0.24,22.7,15.0,13.3,1.0,12.2,2.0,0.08,3.1,30.0,27.9,0.0,1.92,4.0,81.0,2.5,32.0
0.6,0.23,30.1,13.0,10.0,0.4,9.5,1.98,0.06,3.8,25.0,27.3,0.0,1.92,6.0,82.0,3.0,29.0
0.6,0.22,31.2,13.0,8.7,0.5,8.2,1.97,0.05,2.7,43.0,26.9,0.0,1.92,4.0,83.0,2.4,36.0
0.6,0.24,22.6,8.0,13.6,0.5,13.1,2.0,0.07,3.2,41.0,26.6,0.0,1.93,4.0,83.0,2.5,38.0
0.7,0.24,24.0,7.0,15.9,0.3,15.5,2.0,0.08,2.5,35.0,26.5,0.0,1.93,1.0,83.0,2.0,43.0
0.8,0.22,28.6,4.0,8.9,0.2,8.7,2.0,0.06,2.3,32.0,26.3,0.0,1.95,1.0,84.0,2.1,37.0
0.9,0.22,25.1,4.0,10.9,0.3,10.6,2.04,0.08,2.3,40.0,26.3,0.0,1.97,4.0,85.0,2.0,36.0
0.9,0.17,30.7,2.0,8.1,0.3,7.8,1.98,0.03,2.4,40.0,26.1,0.0,1.95,2.0,85.0,2.1,46.0
1.4,0.15,33.3,0.0,6.0,0.6,5.3,1.95,0.01,2.5,42.0,26.0,0.0,1.94,3.0,85.0,1.7,48.0
1.4,0.15,33.1,4.0,6.8,0.5,6.2,2.0,0.05,2.3,54.0,25.9,0.0,1.96,0.0,86.0,1.9,36.0
1.4,0.16,29.3,4.0,7.2,0.6,6.6,2.02,0.06,2.5,34.0,25.7,0.0,1.97,0.0,86.0,1.8,37.0
1.3,0.16,35.6,0.0,6.3,0.4,5.8,1.99,0.05,2.6,35.0,25.3,0.0,1.94,2.0,88.0,2.1,35.0
1.5,0.16,33.1,0.0,7.1,0.6,6.5,2.0,0.06,1.5,35.0,25.2,0.0,1.94,1.0,88.0,1.8,32.0
1.3,0.18,30.5,0.0,8.6,0.7,7.9,2.0,0.05,2.4,23.0,25.5,0.0,1.95,0.0,86.0,1.7,29.0
1.5,0.24,31.7,3.0,10.0,1.4,8.6,2.02,0.07,2.6,36.0,26.0,0.0,1.95,0.0,85.0,2.1,33.0
1.4,0.24,37.8,12.0,10.2,1.3,8.8,1.99,0.06,3.5,29.0,26.3,0.0,1.93,1.0,85.0,3.1,34.0
1.4,0.22,41.9,6.0,10.2,1.6,8.6,1.98,0.06,4.2,31.0,25.8,0.0,1.92,1.0,86.0,3.4,30.0
1.4,0.22,45.0,4.0,10.0,1.9,8.1,2.0,0.08,4.1,28.0,26.3,0.0,1.93,0.0,85.0,3.5,31.0
1.6,0.22,47.5,3.0,9.0,1.4,7.6,2.0,0.06,4.6,30.0,26.1,0.0,1.94,0.0,84.0,3.5,33.0
1.3,0.22,48.4,7.0,8.1,1.0,7.0,2.02,0.06,3.5,41.0,25.6,0.0,1.97,2.0,84.0,3.0,36.0
